NRO_RADICADO;FECHA_ACCIDENTE;HORA_ACCIDENTE;Día de la semana;AÑO;MES;CLASE_VEHICULO;TIPO_SERVICIO;TIPO_VICTIMA;EDAD;GENERO;GRAVEDAD;ESTADO_BEODEZ;ESTADO_DROGA;RESULTADO_BEODEZ;RESUL_BEODEZ_GRAMOS;DIRECCION_CARACT_VIA;TRAMO_VIA;LOCALIDAD_O_COMUNA;    GEORREFERENCIACIÓN;DESC_CLASE_ACCIDENTE;DESC_CHOQUE_ACCIDENTE;DESC_OBJETO_FIJO;DESC_SECTOR_ACCIDENTE;CONDICION_CLIMATICA;CAUSA_ACCIDENTE
2180115;15/01/2018;6:45:00 p. m.;Lunes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;22;FEMENINO;HERIDOS;0;0;0;0;CARRERA 48 # 32 B SUR 139;;LAS VEGAS;6.1762844337092, -75.5907449535185;CHOQUE;OBJETO FIJO;VALLA - SEÑAL;RESIDENCIAL;Normal;Adelantar por la derecha
2180118;15/01/2018;1:00:00 p. m.;Lunes;2018;Enero;MOTOCICLETA;PARTICULAR;Acompañante;18;MASCULINO;HERIDOS;0;0;0;0;CARRERA 50 CALLE 26 SUR ;;LAS VEGAS;6.184920, -75.587152;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Transitar entre vehiculos
2180118;15/01/2018;1:00:00 p. m.;Lunes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;25;FEMENINO;HERIDOS;0;0;0;0;CARRERA 50 CALLE 26 SUR ;;LAS VEGAS;6.184920, -75.587152;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Transitar entre vehiculos
2180119;16/01/2018;9:45:00 p. m.;Martes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;31;MASCULINO;HERIDOS;0;0;0;0;CARRERA 27 # 28 SUR 80;;LOMA DEL ATRAVEZADO;6.169638422525613, -75.56839043613014;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;No respetar prelacion
2180126;16/01/2018;11:00:00 a. m.;Martes;2018;Enero;BICICLETA;PARTICULAR;Ciclista;21;MASCULINO;HERIDOS;0;0;0;0;CALLE 40 H SUR  CARRERA 43;;EL DORADO;6.167213628713508, -75.59091182042367;CAIDA OCUPANTE;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Impericia en el manejo
2180129;18/01/2018;6:00:00 a. m.;Jueves;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;29;FEMENINO;HERIDOS;0;0;0;0;CALLE 50 SUR CARRERA 48;;LAS VEGAS;6.162072458716961, -75.60353659646475;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;No mantener distancia de seguridad
2180133;15/01/2018;8:45:00 p. m.;Lunes;2018;Enero;BICICLETA;PARTICULAR;Ciclista;16;MASCULINO;HERIDOS;0;0;0;0;CALLE 36 D SUR  CARRERA 23;;VEREDA EL ESCOBERO;6.153371936476893, -75.56384710547447;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Transitar distante de la acera u orilla 
2180136;17/01/2018;9:10:00 p. m.;Miércoles;2018;Enero;AUTOMOVIL;PUBLICO;Peaton;60;MASCULINO;HERIDOS;0;0;0;0;CARRERA 40 CALLE 39 SUR;;ZONA CENTRO;6.167519794882963, -75.58672852042369;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Lluvia;Cruzar sin observar
2180138;16/01/2018;4:30:00 p. m.;Martes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;22;MASCULINO;HERIDOS;0;0;0;0;CALLE 37 SUR CARRERA 50;;LAS VEGAS;6.175281311262004, -75.59506880040107;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Desobedecer señales
2180141;16/01/2018;4:30:00 p. m.;Martes;2018;Enero;BUS;PUBLICO;Peaton;85;FEMENINO;HERIDOS;0;0;0;0;CARRERA 42 CALLE 26 SUR;;LAS ORQUIDEAS;6.178048883932061, -75.58009260681371;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Arrancar sin precaucion
2180143;16/01/2018;7:35:00 a. m.;Martes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;28;FEMENINO;HERIDOS;0;0;0;0;CARRERA 50 CALLE 46 A SUR 06;;LAS VEGAS;6.168548, -75.602176;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Adelantar por la derecha
2180145;18/01/2018;9:30:00 a. m.;Jueves;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;21;MASCULINO;HERIDOS;0;0;0;0;DIAGONAL 32 TRANSVERSAL 34 SUR;;OBRERO;6.173400012160298, -75.58174819649088;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Desobedecer señales
2180147;16/01/2018;12:10:00 p. m.;Martes;2018;Enero;AUTOMOVIL;PARTICULAR;Acompañante;34;MASCULINO;HERIDOS;0;0;0;0;CARRERA 43 A CALLE 31 SUR;;JARDINES;6.176682303051665, -75.58538750629832;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Lluvia;No respetar prelacion
2180147;16/01/2018;12:10:00 p. m.;Martes;2018;Enero;AUTOMOVIL;PARTICULAR;Conductor;27;FEMENINO;HERIDOS;0;0;0;0;CARRERA 43 A CALLE 31 SUR;;JARDINES;6.176682303051665, -75.58538750629832;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Lluvia;No respetar prelacion
